Time,
2009-05-01 00:00:00 UTC,11.947382920110194
2009-05-02 00:00:00 UTC,11.297619047619047
2009-05-03 00:00:00 UTC,13.630974842767296
2009-05-04 00:00:00 UTC,11.334244791666666
2009-05-05 00:00:00 UTC,10.560617283950616
2009-05-06 00:00:00 UTC,10.761604938271605
2009-05-07 00:00:00 UTC,11.80396174863388
2009-05-08 00:00:00 UTC,12.688006230529595
2009-05-09 00:00:00 UTC,18.87457264957265
2009-05-10 00:00:00 UTC,17.405490196078432
2009-05-11 00:00:00 UTC,11.946388888888889
2009-05-12 00:00:00 UTC,11.209358974358974
2009-05-13 00:00:00 UTC,12.896696696696697
2009-05-14 00:00:00 UTC,10.440287769784172
2009-05-15 00:00:00 UTC,10.508088235294117
2009-05-16 00:00:00 UTC,12.099159663865546
2009-05-17 00:00:00 UTC,11.403543307086615
2009-05-18 00:00:00 UTC,12.196045197740114
2009-05-19 00:00:00 UTC,16.773449612403102
2009-05-20 00:00:00 UTC,11.966527777777777
2009-05-21 00:00:00 UTC,17.377439024390245
2009-05-22 00:00:00 UTC,13.697540983606558
2009-05-23 00:00:00 UTC,64.38489583333333
2009-05-24 00:00:00 UTC,14.434
2009-05-25 00:00:00 UTC,13.05703363914373
2009-05-26 00:00:00 UTC,11.6556
2009-05-27 00:00:00 UTC,11.941316526610644
2009-05-28 00:00:00 UTC,15.275087719298245
2009-05-29 00:00:00 UTC,13.423427672955976
2009-05-30 00:00:00 UTC,13.374159021406728
2009-05-31 00:00:00 UTC,12.24982638888889
2009-06-01 00:00:00 UTC,20.43967136150235
2009-06-02 00:00:00 UTC,15.268918918918919
2009-06-03 00:00:00 UTC,15.153286384976525
2009-06-04 00:00:00 UTC,27.376010101010102
2009-06-05 00:00:00 UTC,13.56611111111111
2009-06-06 00:00:00 UTC,86.58630952380952
2009-06-07 00:00:00 UTC,92.71354166666667
2009-06-08 00:00:00 UTC,17.596544715447155
2009-06-09 00:00:00 UTC,15.846886446886447
2009-06-10 00:00:00 UTC,17.59390243902439
2009-06-11 00:00:00 UTC,16.002996254681648
2009-06-12 00:00:00 UTC,16.851550387596898
2009-06-13 00:00:00 UTC,18.231623931623933
2009-06-14 00:00:00 UTC,20.3125
2009-06-15 00:00:00 UTC,17.173015873015874
2009-06-16 00:00:00 UTC,19.911032863849766
